percentile,latency_ns
0.0000,4166
1.0000,4250
2.0000,4250
3.0000,4291
4.0000,4291
5.0000,4291
6.0000,4333
7.0000,4333
8.0000,4333
9.0000,4375
10.0000,4375
11.0000,4416
12.0000,4416
13.0000,4458
14.0000,4500
15.0000,4541
16.0000,4541
17.0000,4541
18.0000,4541
19.0000,4541
20.0000,4583
21.0000,4583
22.0000,4583
23.0000,4583
24.0000,4583
25.0000,4583
26.0000,4583
27.0000,4583
28.0000,4583
29.0000,4583
30.0000,4583
31.0000,4583
32.0000,4625
33.0000,4625
34.0000,4625
35.0000,4625
36.0000,4625
37.0000,4625
38.0000,4625
39.0000,4625
40.0000,4625
41.0000,4625
42.0000,4625
43.0000,4625
44.0000,4625
45.0000,4625
46.0000,4625
47.0000,4625
48.0000,4625
49.0000,4625
50.0000,4625
51.0000,4625
52.0000,4625
53.0000,4625
54.0000,4666
55.0000,4666
56.0000,4666
57.0000,4666
58.0000,4666
59.0000,4666
60.0000,4666
61.0000,4666
62.0000,4666
63.0000,4666
64.0000,4666
65.0000,4666
66.0000,4708
67.0000,4708
68.0000,4708
69.0000,4708
70.0000,4708
71.0000,4708
72.0000,4708
73.0000,4750
74.0000,4750
75.0000,4750
76.0000,4750
77.0000,4750
78.0000,4750
79.0000,4750
80.0000,4750
81.0000,4750
82.0000,4750
83.0000,4791
84.0000,4791
85.0000,4791
86.0000,4791
87.0000,4833
88.0000,4833
89.0000,4875
90.0000,4875
90.0000,4875
90.1000,4875
90.2000,4875
90.3000,4875
90.4000,4875
90.5000,4875
90.6000,4875
90.7000,4875
90.8000,4875
90.9000,4875
91.0000,4875
91.1000,4875
91.2000,4916
91.3000,4916
91.4000,4916
91.5000,4916
91.6000,4916
91.7000,4916
91.8000,4916
91.9000,4916
92.0000,4916
92.1000,4916
92.2000,4916
92.3000,4916
92.4000,4958
92.5000,4958
92.6000,4958
92.7000,4958
92.8000,4958
92.9000,4958
93.0000,4958
93.1000,4958
93.2000,5000
93.3000,5000
93.4000,5000
93.5000,5000
93.6000,5000
93.7000,5000
93.8000,5041
93.9000,5041
94.0000,5041
94.1000,5041
94.2000,5083
94.3000,5083
94.4000,5083
94.5000,5125
94.6000,5125
94.7000,5166
94.8000,5166
94.9000,5250
95.0000,5291
95.1000,5333
95.2000,5416
95.3000,5500
95.4000,5583
95.5000,5625
95.6000,5708
95.7000,5750
95.8000,5750
95.9000,5791
96.0000,5833
96.1000,5833
96.2000,5875
96.3000,5875
96.4000,5875
96.5000,5916
96.6000,5916
96.7000,5916
96.8000,5958
96.9000,5958
97.0000,5958
97.1000,5958
97.2000,6000
97.3000,6000
97.4000,6000
97.5000,6000
97.6000,6041
97.7000,6041
97.8000,6041
97.9000,6041
98.0000,6083
98.1000,6083
98.2000,6125
98.3000,6166
98.4000,6166
98.5000,6208
98.6000,6208
98.7000,6250
98.8000,6291
98.9000,6500
99.0000,9791
99.0000,9791
99.0100,9791
99.0200,9833
99.0300,9833
99.0400,9833
99.0500,9833
99.0600,9875
99.0700,9875
99.0800,9875
99.0900,9875
99.1000,9875
99.1100,9875
99.1200,9916
99.1300,9916
99.1400,9916
99.1500,9916
99.1600,9916
99.1700,9916
99.1800,9916
99.1900,9958
99.2000,9958
99.2100,9958
99.2200,9958
99.2300,9958
99.2400,10000
99.2500,10000
99.2600,10000
99.2700,10000
99.2800,10041
99.2900,10041
99.3000,10083
99.3100,10083
99.3200,10083
99.3300,10125
99.3400,10125
99.3500,10125
99.3600,10166
99.3700,10166
99.3800,10166
99.3900,10166
99.4000,10208
99.4100,10208
99.4200,10208
99.4300,10250
99.4400,10250
99.4500,10250
99.4600,10250
99.4700,10250
99.4800,10291
99.4900,10291
99.5000,10291
99.5100,10333
99.5200,10333
99.5300,10416
99.5400,10416
99.5500,10416
99.5600,10458
99.5700,10458
99.5800,10500
99.5900,10541
99.6000,10583
99.6100,10625
99.6200,10625
99.6300,10666
99.6400,10708
99.6500,10750
99.6600,10833
99.6700,10916
99.6800,10958
99.6900,11000
99.7000,11041
99.7100,11375
99.7200,11541
99.7300,11916
99.7400,11958
99.7500,12166
99.7600,12416
99.7700,12916
99.7800,13291
99.7900,13916
99.8000,14416
99.8100,15833
99.8200,18000
99.8300,18625
99.8400,19541
99.8500,20375
99.8600,20708
99.8700,23041
99.8800,23416
99.8900,24500
99.9000,25625
99.9000,25625
99.9010,25625
99.9020,26125
99.9030,26125
99.9040,26208
99.9050,26208
99.9060,26416
99.9070,26416
99.9080,26416
99.9090,26416
99.9100,26541
99.9110,26541
99.9120,26583
99.9130,26583
99.9140,27166
99.9150,27166
99.9160,27666
99.9170,27666
99.9180,27708
99.9190,27708
99.9200,27833
99.9210,27833
99.9220,28416
99.9230,28416
99.9240,28958
99.9250,28958
99.9260,29083
99.9270,29083
99.9280,29250
99.9290,29250
99.9300,29625
99.9310,29625
99.9320,30541
99.9330,30541
99.9340,31000
99.9350,31000
99.9360,31333
99.9370,31333
99.9380,31375
99.9390,31375
99.9400,31916
99.9410,31916
99.9420,32125
99.9430,32125
99.9440,32541
99.9450,32541
99.9460,32583
99.9470,32583
99.9480,32916
99.9490,32916
99.9500,33083
99.9510,33083
99.9520,33916
99.9530,33916
99.9540,36541
99.9550,36541
99.9560,36791
99.9570,36791
99.9580,37000
99.9590,37000
99.9600,37458
99.9610,37458
99.9620,39458
99.9630,39458
99.9640,43208
99.9650,43208
99.9660,43958
99.9670,43958
99.9680,44250
99.9690,44250
99.9700,46250
99.9710,46250
99.9720,53541
99.9730,53541
99.9740,55750
99.9750,55750
99.9760,61333
99.9770,61333
99.9780,65500
99.9790,65500
99.9800,66375
99.9810,66375
99.9820,70333
99.9830,70333
99.9840,73958
99.9850,73958
99.9860,79000
99.9870,79000
99.9880,83541
99.9890,83541
99.9900,89500
99.9990,319750
100.0000,1744666
