percentile,latency_ns
0.0000,22000
1.0000,22458
2.0000,22583
3.0000,22666
4.0000,22750
5.0000,22833
6.0000,22916
7.0000,23041
8.0000,23166
9.0000,23291
10.0000,23416
11.0000,23708
12.0000,23750
13.0000,23791
14.0000,23791
15.0000,23833
16.0000,23833
17.0000,23875
18.0000,23916
19.0000,23958
20.0000,23958
21.0000,24000
22.0000,24041
23.0000,24041
24.0000,24083
25.0000,24083
26.0000,24083
27.0000,24125
28.0000,24125
29.0000,24125
30.0000,24125
31.0000,24166
32.0000,24166
33.0000,24166
34.0000,24208
35.0000,24208
36.0000,24208
37.0000,24208
38.0000,24250
39.0000,24250
40.0000,24250
41.0000,24250
42.0000,24250
43.0000,24291
44.0000,24291
45.0000,24291
46.0000,24291
47.0000,24291
48.0000,24333
49.0000,24333
50.0000,24333
51.0000,24333
52.0000,24333
53.0000,24333
54.0000,24375
55.0000,24375
56.0000,24375
57.0000,24375
58.0000,24416
59.0000,24416
60.0000,24416
61.0000,24416
62.0000,24416
63.0000,24458
64.0000,24458
65.0000,24500
66.0000,24500
67.0000,24500
68.0000,24541
69.0000,24541
70.0000,24583
71.0000,24583
72.0000,24625
73.0000,24625
74.0000,24625
75.0000,24666
76.0000,24666
77.0000,24708
78.0000,24750
79.0000,24791
80.0000,24833
81.0000,24916
82.0000,25041
83.0000,25083
84.0000,25125
85.0000,25208
86.0000,25291
87.0000,25416
88.0000,25541
89.0000,25750
90.0000,25916
90.0000,25916
90.1000,25916
90.2000,25958
90.3000,26000
90.4000,26000
90.5000,26041
90.6000,26083
90.7000,26125
90.8000,26166
90.9000,26166
91.0000,26208
91.1000,26250
91.2000,26333
91.3000,26375
91.4000,26416
91.5000,26416
91.6000,26458
91.7000,26500
91.8000,26583
91.9000,26625
92.0000,26666
92.1000,26708
92.2000,26791
92.3000,26833
92.4000,26875
92.5000,26875
92.6000,26916
92.7000,27000
92.8000,27041
92.9000,27125
93.0000,27166
93.1000,27208
93.2000,27291
93.3000,27375
93.4000,27458
93.5000,27500
93.6000,27541
93.7000,27625
93.8000,27708
93.9000,27750
94.0000,27833
94.1000,27916
94.2000,28000
94.3000,28083
94.4000,28125
94.5000,28208
94.6000,28291
94.7000,28333
94.8000,28416
94.9000,28458
95.0000,28500
95.1000,28583
95.2000,28666
95.3000,28708
95.4000,28791
95.5000,28875
95.6000,28916
95.7000,29000
95.8000,29125
95.9000,29250
96.0000,29375
96.1000,29500
96.2000,29625
96.3000,29750
96.4000,29916
96.5000,30083
96.6000,30250
96.7000,30375
96.8000,30583
96.9000,30708
97.0000,30875
97.1000,31000
97.2000,31083
97.3000,31208
97.4000,31333
97.5000,31458
97.6000,31583
97.7000,31666
97.8000,31833
97.9000,31958
98.0000,32166
98.1000,32458
98.2000,33041
98.3000,34875
98.4000,36666
98.5000,41500
98.6000,56625
98.7000,57000
98.8000,57041
98.9000,57166
99.0000,57416
99.0000,57416
99.0100,57416
99.0200,57416
99.0300,57416
99.0400,57416
99.0500,57416
99.0600,57416
99.0700,57416
99.0800,57416
99.0900,57458
99.1000,57458
99.1100,57458
99.1200,57458
99.1300,57458
99.1400,57458
99.1500,57458
99.1600,57458
99.1700,57500
99.1800,57500
99.1900,57500
99.2000,57541
99.2100,57541
99.2200,57583
99.2300,57625
99.2400,57625
99.2500,57666
99.2600,57666
99.2700,57708
99.2800,57750
99.2900,57750
99.3000,57791
99.3100,57833
99.3200,57958
99.3300,58083
99.3400,58208
99.3500,58333
99.3600,58500
99.3700,58833
99.3800,58958
99.3900,59000
99.4000,59041
99.4100,59083
99.4200,59166
99.4300,59291
99.4400,59333
99.4500,59375
99.4600,59458
99.4700,59500
99.4800,59541
99.4900,59583
99.5000,59625
99.5100,59666
99.5200,59708
99.5300,59750
99.5400,59750
99.5500,59791
99.5600,59791
99.5700,59916
99.5800,59958
99.5900,60041
99.6000,60083
99.6100,60125
99.6200,60208
99.6300,60333
99.6400,60458
99.6500,60541
99.6600,60625
99.6700,60750
99.6800,60916
99.6900,61166
99.7000,61333
99.7100,61458
99.7200,61708
99.7300,62375
99.7400,63958
99.7500,65000
99.7600,68291
99.7700,69416
99.7800,70458
99.7900,71250
99.8000,72416
99.8100,72833
99.8200,74458
99.8300,75708
99.8400,77125
99.8500,78541
99.8600,80375
99.8700,82291
99.8800,82916
99.8900,86000
99.9000,87666
99.9000,87666
99.9010,87666
99.9020,87708
99.9030,87708
99.9040,87875
99.9050,87875
99.9060,88208
99.9070,88208
99.9080,88875
99.9090,88875
99.9100,88958
99.9110,88958
99.9120,89166
99.9130,89166
99.9140,89583
99.9150,89583
99.9160,90375
99.9170,90375
99.9180,91000
99.9190,91000
99.9200,91666
99.9210,91666
99.9220,92208
99.9230,92208
99.9240,93000
99.9250,93000
99.9260,93625
99.9270,93625
99.9280,93791
99.9290,93791
99.9300,94875
99.9310,94875
99.9320,95666
99.9330,95666
99.9340,97458
99.9350,97458
99.9360,98541
99.9370,98541
99.9380,98833
99.9390,98833
99.9400,99875
99.9410,99875
99.9420,100875
99.9430,100875
99.9440,101041
99.9450,101041
99.9460,101041
99.9470,101041
99.9480,102416
99.9490,102416
99.9500,102916
99.9510,102916
99.9520,108458
99.9530,108458
99.9540,109333
99.9550,109333
99.9560,109583
99.9570,109583
99.9580,109708
99.9590,109708
99.9600,109875
99.9610,109875
99.9620,110958
99.9630,110958
99.9640,113708
99.9650,113708
99.9660,124041
99.9670,124041
99.9680,124458
99.9690,124458
99.9700,129750
99.9710,129750
99.9720,130791
99.9730,130791
99.9740,134916
99.9750,134916
99.9760,140541
99.9770,140541
99.9780,141166
99.9790,141166
99.9800,165708
99.9810,165708
99.9820,171750
99.9830,171750
99.9840,221458
99.9850,221458
99.9860,303291
99.9870,303291
99.9880,439333
99.9890,439333
99.9900,548541
99.9990,775416
100.0000,1893083
