percentile,latency_ns
0.0000,21708
1.0000,22416
2.0000,22666
3.0000,22875
4.0000,23166
5.0000,23583
6.0000,23625
7.0000,23666
8.0000,23875
9.0000,23958
10.0000,24000
11.0000,24041
12.0000,24041
13.0000,24083
14.0000,24083
15.0000,24125
16.0000,24166
17.0000,24208
18.0000,24250
19.0000,24333
20.0000,24375
21.0000,24375
22.0000,24416
23.0000,24416
24.0000,24458
25.0000,24458
26.0000,24458
27.0000,24500
28.0000,24541
29.0000,24541
30.0000,24583
31.0000,24625
32.0000,24666
33.0000,24708
34.0000,24750
35.0000,24833
36.0000,24875
37.0000,24916
38.0000,25000
39.0000,25041
40.0000,25125
41.0000,25166
42.0000,25250
43.0000,25333
44.0000,25416
45.0000,25500
46.0000,25541
47.0000,25625
48.0000,25708
49.0000,25750
50.0000,25833
51.0000,25958
52.0000,26041
53.0000,26125
54.0000,26250
55.0000,26375
56.0000,26458
57.0000,26541
58.0000,26666
59.0000,26791
60.0000,26875
61.0000,27000
62.0000,27125
63.0000,27208
64.0000,27375
65.0000,27458
66.0000,27583
67.0000,27708
68.0000,27833
69.0000,27958
70.0000,28083
71.0000,28166
72.0000,28291
73.0000,28416
74.0000,28500
75.0000,28583
76.0000,28666
77.0000,28791
78.0000,28875
79.0000,29000
80.0000,29125
81.0000,29291
82.0000,29458
83.0000,29625
84.0000,29791
85.0000,29958
86.0000,30166
87.0000,30333
88.0000,30500
89.0000,30708
90.0000,30875
90.0000,30875
90.1000,30916
90.2000,30916
90.3000,30958
90.4000,30958
90.5000,30958
90.6000,31000
90.7000,31000
90.8000,31041
90.9000,31041
91.0000,31083
91.1000,31083
91.2000,31083
91.3000,31125
91.4000,31125
91.5000,31125
91.6000,31166
91.7000,31166
91.8000,31208
91.9000,31208
92.0000,31250
92.1000,31250
92.2000,31291
92.3000,31291
92.4000,31333
92.5000,31333
92.6000,31375
92.7000,31375
92.8000,31416
92.9000,31416
93.0000,31416
93.1000,31458
93.2000,31458
93.3000,31500
93.4000,31500
93.5000,31500
93.6000,31541
93.7000,31541
93.8000,31583
93.9000,31583
94.0000,31625
94.1000,31625
94.2000,31625
94.3000,31666
94.4000,31666
94.5000,31708
94.6000,31708
94.7000,31750
94.8000,31750
94.9000,31791
95.0000,31791
95.1000,31833
95.2000,31833
95.3000,31875
95.4000,31875
95.5000,31916
95.6000,31916
95.7000,31958
95.8000,31958
95.9000,32000
96.0000,32000
96.1000,32041
96.2000,32041
96.3000,32083
96.4000,32125
96.5000,32125
96.6000,32166
96.7000,32208
96.8000,32250
96.9000,32291
97.0000,32333
97.1000,32375
97.2000,32458
97.3000,32500
97.4000,32583
97.5000,32708
97.6000,32833
97.7000,33000
97.8000,33250
97.9000,33541
98.0000,33916
98.1000,34208
98.2000,34458
98.3000,34791
98.4000,35083
98.5000,35416
98.6000,35791
98.7000,36208
98.8000,36583
98.9000,37000
99.0000,37416
99.0000,37416
99.0100,37458
99.0200,37500
99.0300,37541
99.0400,37583
99.0500,37625
99.0600,37666
99.0700,37708
99.0800,37750
99.0900,37791
99.1000,37791
99.1100,37833
99.1200,37875
99.1300,37916
99.1400,37958
99.1500,38000
99.1600,38083
99.1700,38166
99.1800,38208
99.1900,38208
99.2000,38250
99.2100,38333
99.2200,38375
99.2300,38416
99.2400,38458
99.2500,38458
99.2600,38500
99.2700,38625
99.2800,38708
99.2900,38791
99.3000,38875
99.3100,38916
99.3200,38916
99.3300,38958
99.3400,39041
99.3500,39083
99.3600,39125
99.3700,39208
99.3800,39250
99.3900,39291
99.4000,39333
99.4100,39416
99.4200,39458
99.4300,39500
99.4400,39541
99.4500,39625
99.4600,39666
99.4700,39750
99.4800,39791
99.4900,39916
99.5000,40000
99.5100,40041
99.5200,40083
99.5300,40125
99.5400,40208
99.5500,40333
99.5600,40375
99.5700,40500
99.5800,40583
99.5900,40750
99.6000,40875
99.6100,41000
99.6200,41041
99.6300,41166
99.6400,41208
99.6500,41375
99.6600,41500
99.6700,41666
99.6800,41750
99.6900,41875
99.7000,41958
99.7100,42083
99.7200,42166
99.7300,42291
99.7400,42416
99.7500,42500
99.7600,42666
99.7700,42791
99.7800,43041
99.7900,43166
99.8000,43750
99.8100,44083
99.8200,44583
99.8300,45375
99.8400,45916
99.8500,47291
99.8600,49291
99.8700,50791
99.8800,53583
99.8900,54833
99.9000,56375
99.9000,56375
99.9010,56375
99.9020,57000
99.9030,57000
99.9040,57416
99.9050,57416
99.9060,57416
99.9070,57416
99.9080,57875
99.9090,57875
99.9100,57958
99.9110,57958
99.9120,58375
99.9130,58375
99.9140,58416
99.9150,58416
99.9160,58625
99.9170,58625
99.9180,58625
99.9190,58625
99.9200,59041
99.9210,59041
99.9220,59500
99.9230,59500
99.9240,59500
99.9250,59500
99.9260,59500
99.9270,59500
99.9280,59708
99.9290,59708
99.9300,60083
99.9310,60083
99.9320,60125
99.9330,60125
99.9340,60125
99.9350,60125
99.9360,60166
99.9370,60166
99.9380,60708
99.9390,60708
99.9400,61208
99.9410,61208
99.9420,61916
99.9430,61916
99.9440,62791
99.9450,62791
99.9460,64750
99.9470,64750
99.9480,65000
99.9490,65000
99.9500,65208
99.9510,65208
99.9520,65875
99.9530,65875
99.9540,66458
99.9550,66458
99.9560,68541
99.9570,68541
99.9580,69041
99.9590,69041
99.9600,69791
99.9610,69791
99.9620,69875
99.9630,69875
99.9640,70958
99.9650,70958
99.9660,71416
99.9670,71416
99.9680,71875
99.9690,71875
99.9700,72791
99.9710,72791
99.9720,73625
99.9730,73625
99.9740,74166
99.9750,74166
99.9760,77208
99.9770,77208
99.9780,80708
99.9790,80708
99.9800,83166
99.9810,83166
99.9820,83625
99.9830,83625
99.9840,83833
99.9850,83833
99.9860,88208
99.9870,88208
99.9880,90583
99.9890,90583
99.9900,92458
99.9990,204083
100.0000,228875
