percentile,latency_ns
0.0000,4500
1.0000,4666
2.0000,4791
3.0000,4875
4.0000,4916
5.0000,4916
6.0000,4916
7.0000,4916
8.0000,4916
9.0000,4958
10.0000,4958
11.0000,4958
12.0000,4958
13.0000,4958
14.0000,4958
15.0000,4958
16.0000,4958
17.0000,4958
18.0000,5000
19.0000,5000
20.0000,5000
21.0000,5000
22.0000,5000
23.0000,5000
24.0000,5000
25.0000,5000
26.0000,5000
27.0000,5000
28.0000,5000
29.0000,5041
30.0000,5041
31.0000,5041
32.0000,5041
33.0000,5041
34.0000,5041
35.0000,5083
36.0000,5083
37.0000,5083
38.0000,5083
39.0000,5083
40.0000,5125
41.0000,5125
42.0000,5125
43.0000,5125
44.0000,5125
45.0000,5166
46.0000,5166
47.0000,5166
48.0000,5166
49.0000,5166
50.0000,5208
51.0000,5208
52.0000,5208
53.0000,5208
54.0000,5208
55.0000,5208
56.0000,5250
57.0000,5250
58.0000,5250
59.0000,5250
60.0000,5291
61.0000,5291
62.0000,5291
63.0000,5333
64.0000,5333
65.0000,5375
66.0000,5375
67.0000,5416
68.0000,5416
69.0000,5458
70.0000,5500
71.0000,5541
72.0000,5625
73.0000,5708
74.0000,5833
75.0000,5958
76.0000,6083
77.0000,6208
78.0000,6250
79.0000,6291
80.0000,6291
81.0000,6333
82.0000,6375
83.0000,6375
84.0000,6416
85.0000,6416
86.0000,6416
87.0000,6458
88.0000,6458
89.0000,6458
90.0000,6500
90.0000,6500
90.1000,6500
90.2000,6500
90.3000,6500
90.4000,6500
90.5000,6500
90.6000,6500
90.7000,6500
90.8000,6500
90.9000,6500
91.0000,6500
91.1000,6500
91.2000,6500
91.3000,6500
91.4000,6500
91.5000,6500
91.6000,6500
91.7000,6500
91.8000,6541
91.9000,6541
92.0000,6541
92.1000,6541
92.2000,6541
92.3000,6541
92.4000,6541
92.5000,6541
92.6000,6541
92.7000,6541
92.8000,6541
92.9000,6541
93.0000,6541
93.1000,6541
93.2000,6583
93.3000,6583
93.4000,6583
93.5000,6583
93.6000,6583
93.7000,6583
93.8000,6583
93.9000,6583
94.0000,6583
94.1000,6583
94.2000,6583
94.3000,6583
94.4000,6625
94.5000,6625
94.6000,6625
94.7000,6625
94.8000,6625
94.9000,6625
95.0000,6625
95.1000,6625
95.2000,6625
95.3000,6625
95.4000,6625
95.5000,6625
95.6000,6625
95.7000,6666
95.8000,6666
95.9000,6666
96.0000,6666
96.1000,6666
96.2000,6666
96.3000,6666
96.4000,6666
96.5000,6666
96.6000,6666
96.7000,6666
96.8000,6708
96.9000,6708
97.0000,6708
97.1000,6708
97.2000,6708
97.3000,6708
97.4000,6708
97.5000,6708
97.6000,6708
97.7000,6750
97.8000,6750
97.9000,6750
98.0000,6750
98.1000,6750
98.2000,6750
98.3000,6791
98.4000,6791
98.5000,6791
98.6000,6833
98.7000,6833
98.8000,6833
98.9000,6875
99.0000,6875
99.0000,6875
99.0100,6875
99.0200,6875
99.0300,6916
99.0400,6916
99.0500,6916
99.0600,6916
99.0700,6916
99.0800,6916
99.0900,6916
99.1000,6916
99.1100,6916
99.1200,6916
99.1300,6916
99.1400,6916
99.1500,6958
99.1600,6958
99.1700,6958
99.1800,6958
99.1900,6958
99.2000,6958
99.2100,6958
99.2200,7000
99.2300,7000
99.2400,7000
99.2500,7000
99.2600,7041
99.2700,7041
99.2800,7083
99.2900,7083
99.3000,7250
99.3100,7416
99.3200,7583
99.3300,7708
99.3400,7958
99.3500,8291
99.3600,8583
99.3700,8791
99.3800,8875
99.3900,9125
99.4000,9208
99.4100,9333
99.4200,9416
99.4300,9500
99.4400,9750
99.4500,9875
99.4600,10125
99.4700,10291
99.4800,10458
99.4900,10541
99.5000,10666
99.5100,10833
99.5200,11125
99.5300,11458
99.5400,11583
99.5500,11916
99.5600,12125
99.5700,12208
99.5800,12250
99.5900,12375
99.6000,12458
99.6100,12500
99.6200,12625
99.6300,12625
99.6400,12750
99.6500,12875
99.6600,12958
99.6700,13083
99.6800,13250
99.6900,13458
99.7000,13500
99.7100,13625
99.7200,13875
99.7300,14208
99.7400,14416
99.7500,14875
99.7600,15500
99.7700,16166
99.7800,16875
99.7900,17125
99.8000,17458
99.8100,17791
99.8200,18958
